id,Elevation,Aspect,Slope,Wilderness,Soil_Type,Hillshade_9am,Hillshade_noon,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Fire_Points
11000,elevation_medium,aspect_high,slope_low,comanche,bullwark_a,hillshade_9am_min,hillnoon_max,0,1,low
11001,elevation_medium,aspect_medium,slope_medium,comanche,ratake_a,hillshade_9am_max,hillnoon_min,2,1,low
11002,elevation_medium,aspect_high,slope_medium,comanche,ratake_a,hillshade_9am_min,hillnoon_max,1,1,low
11003,elevation_medium,aspect_low,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,1,1,low
11004,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_min,hillnoon_max,3,3,low
11005,elevation_medium,aspect_high,slope_medium,comanche,ratake_a,hillshade_9am_min,hillnoon_max,3,4,low
11006,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_min,hillnoon_max,0,0,low
11007,elevation_medium,aspect_medium,slope_high,comanche,vanet_a,hillshade_9am_max,hillnoon_min,4,3,mid
11008,elevation_medium,aspect_medium,slope_high,comanche,bullwark_a,hillshade_9am_max,hillnoon_min,0,0,low
11009,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,2,1,low
11010,elevation_medium,aspect_medium,slope_high,comanche,ratake_a,hillshade_9am_max,hillnoon_min,2,1,low
11011,elevation_medium,aspect_high,slope_low,comanche,ratake_a,hillshade_9am_max,hillnoon_max,0,0,low
11012,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_max,hillnoon_max,0,0,low
11013,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_max,hillnoon_min,0,1,low
11014,elevation_medium,aspect_medium,slope_high,comanche,ratake_a,hillshade_9am_max,hillnoon_min,0,0,low
11015,elevation_medium,aspect_medium,slope_ultra,comanche,ratake_a,hillshade_9am_max,hillnoon_min,3,3,low
11016,elevation_medium,aspect_medium,slope_low,comanche,bullwark_a,hillshade_9am_max,hillnoon_min,0,0,low
11017,elevation_medium,aspect_medium,slope_medium,comanche,bullwark_a,hillshade_9am_max,hillnoon_min,0,0,low
11018,elevation_medium,aspect_high,slope_low,comanche,bullwark_a,hillshade_9am_min,hillnoon_max,0,0,low
11019,elevation_medium,aspect_low,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,1,0,low
11020,elevation_medium,aspect_high,slope_low,comanche,bullwark_a,hillshade_9am_max,hillnoon_max,0,0,low
11021,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_min,hillnoon_max,0,0,low
11022,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,1,1,low
11023,elevation_medium,aspect_medium,slope_low,comanche,vanet_a,hillshade_9am_max,hillnoon_min,4,3,low
11024,elevation_medium,aspect_medium,slope_low,comanche,bullwark_a,hillshade_9am_min,hillnoon_max,0,0,low
11025,elevation_medium,aspect_high,slope_low,comanche,bullwark_a,hillshade_9am_min,hillnoon_max,0,0,low
11026,elevation_medium,aspect_low,slope_medium,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,0,0,low
11027,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,0,0,mid
11028,elevation_medium,aspect_high,slope_high,comanche,vanet_a,hillshade_9am_min,hillnoon_max,3,3,mid
11029,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_max,hillnoon_min,4,2,low
11030,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_min,hillnoon_max,1,0,low
11031,elevation_medium,aspect_ultra,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,2,1,low
11032,elevation_medium,aspect_low,slope_medium,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,0,0,low
11033,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_max,hillnoon_min,1,1,low
11034,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_min,hillnoon_max,0,0,mid
11035,elevation_low,aspect_medium,slope_medium,comanche,ratake_a,hillshade_9am_max,hillnoon_min,2,1,low
11036,elevation_medium,aspect_medium,slope_medium,comanche,bullwark_b,hillshade_9am_max,hillnoon_min,4,3,low
11037,elevation_medium,aspect_low,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,1,0,low
11038,elevation_medium,aspect_medium,slope_medium,comanche,bullwark_a,hillshade_9am_max,hillnoon_min,1,0,low
11039,elevation_medium,aspect_medium,slope_low,comanche,bullwark_a,hillshade_9am_max,hillnoon_min,0,0,low
11040,elevation_medium,aspect_low,slope_low,comanche,ratake_a,hillshade_9am_min,hillnoon_min,0,0,low
11041,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_min,hillnoon_max,0,0,mid
11042,elevation_medium,aspect_medium,slope_ultra,comanche,ratake_a,hillshade_9am_max,hillnoon_min,4,0,low
11043,elevation_medium,aspect_medium,slope_ultra,comanche,ratake_a,hillshade_9am_max,hillnoon_min,4,4,low
11044,elevation_medium,aspect_low,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,2,0,low
11045,elevation_medium,aspect_ultra,slope_low,comanche,ratake_a,hillshade_9am_min,hillnoon_max,0,0,low
11046,elevation_medium,aspect_low,slope_low,comanche,ratake_a,hillshade_9am_min,hillnoon_max,0,0,low
11047,elevation_medium,aspect_low,slope_medium,comanche,ratake_a,hillshade_9am_min,hillnoon_min,0,0,low
11048,elevation_medium,aspect_low,slope_low,comanche,vanet_a,hillshade_9am_min,hillnoon_min,3,3,low
11049,elevation_medium,aspect_medium,slope_high,comanche,vanet_a,hillshade_9am_max,hillnoon_min,1,1,low
11050,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_max,hillnoon_min,4,0,low
11051,elevation_medium,aspect_high,slope_low,comanche,vanet_a,hillshade_9am_min,hillnoon_max,4,3,low
11052,elevation_medium,aspect_low,slope_medium,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,0,0,low
11053,elevation_medium,aspect_low,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,0,0,low
11054,elevation_medium,aspect_ultra,slope_low,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,3,1,low
11055,elevation_medium,aspect_medium,slope_high,comanche,vanet_a,hillshade_9am_max,hillnoon_min,0,1,low
11056,elevation_medium,aspect_low,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,3,3,low
11057,elevation_medium,aspect_low,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,2,2,low
11058,elevation_medium,aspect_low,slope_medium,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,0,0,low
11059,elevation_medium,aspect_low,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,1,0,low
11060,elevation_medium,aspect_low,slope_high,comanche,vanet_a,hillshade_9am_min,hillnoon_min,2,1,low
11061,elevation_medium,aspect_low,slope_low,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,0,0,low
11062,elevation_medium,aspect_medium,slope_ultra,comanche,ratake_a,hillshade_9am_max,hillnoon_min,3,3,low
11063,elevation_low,aspect_high,slope_medium,comanche,ratake_a,hillshade_9am_max,hillnoon_max,2,1,low
11064,elevation_medium,aspect_low,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,3,3,low
11065,elevation_medium,aspect_low,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,3,3,low
11066,elevation_medium,aspect_ultra,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,1,1,low
11067,elevation_medium,aspect_low,slope_medium,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,3,1,low
11068,elevation_medium,aspect_low,slope_high,comanche,bullwark_a,hillshade_9am_max,hillnoon_min,1,0,mid
11069,elevation_medium,aspect_medium,slope_ultra,comanche,ratake_a,hillshade_9am_max,hillnoon_min,1,0,mid
11070,elevation_medium,aspect_medium,slope_medium,comanche,pachic_a,hillshade_9am_max,hillnoon_min,0,0,mid
11071,elevation_medium,aspect_low,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,3,3,low
11072,elevation_medium,aspect_ultra,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,2,2,low
11073,elevation_medium,aspect_low,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,2,1,low
11074,elevation_medium,aspect_low,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,3,4,low
11075,elevation_medium,aspect_high,slope_low,comanche,vanet_a,hillshade_9am_min,hillnoon_max,5,3,low
11076,elevation_medium,aspect_low,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,4,4,low
11077,elevation_medium,aspect_low,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,4,3,low
11078,elevation_medium,aspect_low,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,3,3,low
11079,elevation_medium,aspect_low,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,3,3,mid
11080,elevation_medium,aspect_low,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,3,3,mid
11081,elevation_medium,aspect_ultra,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_min,3,3,mid
11082,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,0,0,mid
11083,elevation_medium,aspect_high,slope_low,comanche,vanet_a,hillshade_9am_min,hillnoon_max,5,4,low
11084,elevation_medium,aspect_low,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,4,3,mid
11085,elevation_low,aspect_low,slope_high,comanche,pachic_a,hillshade_9am_min,hillnoon_min,0,0,low
11086,elevation_medium,aspect_low,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,4,4,low
11087,elevation_medium,aspect_ultra,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,4,3,low
11088,elevation_medium,aspect_low,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,4,4,low
11089,elevation_medium,aspect_low,slope_medium,comanche,ratake_a,hillshade_9am_min,hillnoon_min,4,4,mid
11090,elevation_medium,aspect_medium,slope_ultra,comanche,ratake_a,hillshade_9am_max,hillnoon_min,2,3,mid
11091,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_min,hillnoon_max,4,3,low
