id,Elevation,Aspect,Slope,Wilderness,Soil_Type,Hillshade_9am,Hillshade_noon,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Fire_Points,Labels
11000,elevation_medium,aspect_high,slope_low,comanche,bullwark_a,hillshade_9am_min,hillnoon_max,0,1,low,0
11001,elevation_medium,aspect_medium,slope_medium,comanche,ratake_a,hillshade_9am_max,hillnoon_min,2,1,low,4
11002,elevation_medium,aspect_high,slope_medium,comanche,ratake_a,hillshade_9am_min,hillnoon_max,1,1,low,0
11003,elevation_medium,aspect_low,slope_ultra,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,1,1,low,3
11004,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_min,hillnoon_max,3,3,low,5
11005,elevation_medium,aspect_high,slope_medium,comanche,ratake_a,hillshade_9am_min,hillnoon_max,3,4,low,5
11006,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_min,hillnoon_max,0,0,low,0
11007,elevation_medium,aspect_medium,slope_high,comanche,vanet_a,hillshade_9am_max,hillnoon_min,4,3,mid,1
11008,elevation_medium,aspect_medium,slope_high,comanche,bullwark_a,hillshade_9am_max,hillnoon_min,0,0,low,2
11009,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,2,1,low,0
11010,elevation_medium,aspect_medium,slope_high,comanche,ratake_a,hillshade_9am_max,hillnoon_min,2,1,low,2
11011,elevation_medium,aspect_high,slope_low,comanche,ratake_a,hillshade_9am_max,hillnoon_max,0,0,low,0
11012,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_max,hillnoon_max,0,0,low,0
11013,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_max,hillnoon_min,0,1,low,4
11014,elevation_medium,aspect_medium,slope_high,comanche,ratake_a,hillshade_9am_max,hillnoon_min,0,0,low,2
11015,elevation_medium,aspect_medium,slope_ultra,comanche,ratake_a,hillshade_9am_max,hillnoon_min,3,3,low,4
11016,elevation_medium,aspect_medium,slope_low,comanche,bullwark_a,hillshade_9am_max,hillnoon_min,0,0,low,2
11017,elevation_medium,aspect_medium,slope_medium,comanche,bullwark_a,hillshade_9am_max,hillnoon_min,0,0,low,2
11018,elevation_medium,aspect_high,slope_low,comanche,bullwark_a,hillshade_9am_min,hillnoon_max,0,0,low,0
11019,elevation_medium,aspect_low,slope_high,comanche,bullwark_a,hillshade_9am_min,hillnoon_min,1,0,low,2
11020,elevation_medium,aspect_high,slope_low,comanche,bullwark_a,hillshade_9am_max,hillnoon_max,0,0,low,0
11021,elevation_medium,aspect_high,slope_high,comanche,ratake_a,hillshade_9am_min,hillnoon_max,0,0,low,0
11022,elevation_medium,aspect_high,slope_ultra,comanche,ratake_a,hillshade_9am_min,hillnoon_max,1,1,low,0
11023,elevation_medium,aspect_medium,slope_low,comanche,vanet_a,hillshade_9am_max,hillnoon_min,4,3,low,1
11024,elevation_medium,aspect_medium,slope_low,comanche,bullwark_a,hillshade_9am_min,hillnoon_max,0,0,low,0
